,size,price,date,product,release_date,color,release_price
0,230,210000,2021-06-09,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
1,230,230000,2021-06-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
2,240,249000,2021-06-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
3,245,259000,2021-06-19,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
4,235,259000,2021-06-20,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
5,230,200000,2021-06-24,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
6,230,245000,2021-06-25,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
7,230,246000,2021-06-26,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
8,225,200000,2021-06-29,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
9,240,190000,2021-07-01,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
10,250,250000,2021-07-02,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
11,230,219000,2021-07-08,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
12,235,279000,2021-07-09,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
13,240,190000,2021-07-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
14,240,218000,2021-07-11,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
15,240,200000,2021-07-13,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
16,250,215000,2021-07-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
17,240,210000,2021-07-16,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
18,240,200000,2021-07-16,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
19,240,205000,2021-07-18,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
20,235,199000,2021-07-18,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
21,240,239000,2021-07-19,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
22,230,215000,2021-07-20,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
23,240,208000,2021-07-20,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
24,235,195000,2021-07-21,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
25,240,220000,2021-07-21,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
26,235,195000,2021-07-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
27,235,200000,2021-07-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
28,235,199000,2021-07-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
29,240,190000,2021-07-24,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
30,230,216000,2021-07-26,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
31,240,208000,2021-07-27,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
32,250,179000,2021-07-30,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
33,240,199000,2021-08-02,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
34,235,199000,2021-08-03,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
35,235,199000,2021-08-07,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
36,240,200000,2021-08-09,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
37,250,188000,2021-08-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
38,250,189000,2021-08-10,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
39,245,201000,2021-08-11,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
40,245,201000,2021-08-13,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
41,240,202000,2021-08-18,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
42,250,180000,2021-08-19,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
43,240,203000,2021-08-20,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
44,240,200000,2021-08-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
45,245,202000,2021-08-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
46,225,228000,2021-08-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
47,250,198000,2021-08-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
48,235,225000,2021-08-22,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
49,240,180000,2021-08-23,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
50,240,204000,2021-08-24,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
51,250,205000,2021-08-25,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
52,250,208000,2021-08-26,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
53,230,205000,2021-08-29,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
54,240,219000,2021-08-30,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
55,245,207000,2021-08-30,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
56,240,200000,2021-09-01,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
57,245,208000,2021-09-01,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
58,235,230000,2021-09-04,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
59,245,212000,2021-09-09,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
60,235,240000,2021-09-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
61,230,210000,2021-09-15,(GS) Nike Dunk Low Light Bone Tropical Twist,2021-06-11,LIGHTBONE/TROPICALTWIST-BLACK-WHITE,"$70(약83,000원)"
